Game,Goal_for,Goal_against,Goal_for,Goal_against,Goal_for,Goal_against
1,4,2,4,1,4,0
2,2,0,2,1,3,1
3,0,0,1,1,0,1
4,5,0,3,1,3,4
5,2,1,3,0,2,1
6,2,0,4,0,3,0
7,1,0,1,0,3,0
8,7,0,2,2,3,1
9,1,0,4,0,4,1
10,3,2,7,0,2,0
11,1,1,3,0,3,0
12,2,1,7,0,2,0
13,5,0,6,0,4,0
14,2,2,2,1,5,0
15,4,0,4,1,5,1
16,1,1,3,2,7,3
17,3,0,2,3,2,2
18,3,0,4,1,4,0
19,1,0,2,1,4,2
20,0,2,2,0,5,0
21,2,1,0,1,1,1
22,1,1,0,0,2,2
23,2,0,4,1,1,2
24,2,0,3,0,5,0
25,2,0,0,0,0,2
26,0,1,1,0,2,1
27,2,0,5,2,1,0
28,2,1,0,1,3,0
29,0,2,1,1,1,0
30,1,0,1,0,3,2
31,0,3,0,0,1,0
32,4,2,4,0,2,2
33,1,0,4,3,3,2
34,2,1,1,3,4,0
35,3,1,4,1,1,2
36,1,0,3,2,3,2
37,2,0,0,1,1,1
38,1,1,3,2,2,2
