Season,R,Team,P,W,D,L,GF,GA,GD,Pts
2014-2015,1,Barcelona,38,30,4,4,110,21,89,94
2014-2015,2,Real Madrid,38,30,2,6,118,38,80,92
2014-2015,3,Atletico Madrid,38,23,9,6,67,29,38,78
2014-2015,4,Valencia,38,22,11,5,70,32,38,77
2014-2015,5,Sevilla,38,22,8,8,70,45,25,74
2014-2015,6,Villarreal,38,16,12,10,48,37,11,60
2014-2015,7,Athletic Bilbao,38,15,10,13,42,41,1,55
2014-2015,8,Celta Vigo,38,13,12,13,47,44,3,51
2014-2015,9,Malaga,38,14,9,15,42,47,-5,51
2014-2015,10,Espanyol,38,13,10,15,47,51,-4,49
2014-2015,11,Rayo Vallecano,38,15,4,19,46,68,-22,49
2014-2015,12,Real Sociedad,38,11,13,14,44,51,-7,46
2014-2015,13,Elche,38,11,8,19,35,62,-27,41
2014-2015,14,Levante,38,9,10,19,34,67,-33,37
2014-2015,15,Getafe,38,10,7,21,33,64,-31,37
2014-2015,16,Deportivo La Coruna,38,7,14,17,35,60,-25,35
2014-2015,17,Granada,38,7,14,17,29,64,-35,35
2014-2015,18,Eibar,38,9,8,21,34,55,-21,35
2014-2015,19,Almeria,38,8,8,22,35,64,-29,32
2014-2015,20,Cordoba,38,3,11,24,22,68,-46,20
2013-2014,1,Atletico Madrid,38,28,6,4,77,26,51,90
2013-2014,2,Barcelona,38,27,6,5,100,33,67,87
2013-2014,3,Real Madrid,38,27,6,5,104,38,66,87
2013-2014,4,Athletic Bilbao,38,20,10,8,66,39,27,70
2013-2014,5,Sevilla,38,18,9,11,69,52,17,63
2013-2014,6,Villarreal,38,17,8,13,60,44,16,59
2013-2014,7,Real Sociedad,38,16,11,11,62,55,7,59
2013-2014,8,Valencia,38,13,10,15,51,53,-2,49
2013-2014,9,Celta Vigo,38,14,7,17,49,54,-5,49
2013-2014,10,Levante,38,12,12,14,35,43,-8,48
2013-2014,11,Malaga,38,12,9,17,39,46,-7,45
2013-2014,12,Rayo Vallecano,38,13,4,21,46,80,-34,43
2013-2014,13,Getafe,38,11,9,18,35,54,-19,42
2013-2014,14,Espanyol,38,11,9,18,41,51,-10,42
2013-2014,15,Granada,38,12,5,21,32,56,-24,41
2013-2014,16,Elche,38,9,13,16,30,50,-20,40
2013-2014,17,Almeria,38,11,7,20,43,71,-28,40
2013-2014,18,Osasuna,38,10,9,19,32,62,-30,39
2013-2014,19,Valladolid,38,7,15,16,38,60,-22,36
2013-2014,20,Real Betis,38,6,7,25,36,78,-42,25
2015-2016,1,Barcelona,38,29,4,5,112,29,83,91
2015-2016,2,Real Madrid,38,28,6,4,110,34,76,90
2015-2016,3,Atletico Madrid,38,28,4,6,63,18,45,88
2015-2016,4,Villarreal,38,18,10,10,44,35,9,64
2015-2016,5,Athletic Bilbao,38,18,8,12,58,45,13,62
2015-2016,6,Celta Vigo,38,17,9,12,51,59,-8,60
2015-2016,7,Sevilla,38,14,10,14,51,50,1,52
2015-2016,8,Malaga,38,12,12,14,38,35,3,48
2015-2016,9,Real Sociedad,38,13,9,16,45,48,-3,48
2015-2016,10,Real Betis,38,11,12,15,34,52,-18,45
2015-2016,11,Las Palmas,38,12,8,18,45,53,-8,44
2015-2016,12,Valencia,38,11,11,16,46,48,-2,44
2015-2016,13,Espanyol,38,12,7,19,40,74,-34,43
2015-2016,14,Eibar,38,11,10,17,49,61,-12,43
2015-2016,15,Deportivo La Coruna,38,8,18,12,45,61,-16,42
2015-2016,16,Granada,38,10,9,19,46,69,-23,39
2015-2016,17,Sporting Gijon,38,10,9,19,40,62,-22,39
2015-2016,18,Rayo Vallecano,38,9,11,18,52,73,-21,38
2015-2016,19,Getafe,38,9,9,20,37,67,-30,36
2015-2016,20,Levante,38,8,8,22,37,70,-33,32
2016-2017,1,Real Madrid,38,29,6,3,106,41,65,93
2016-2017,2,Barcelona,38,28,6,4,116,37,79,90
2016-2017,3,Atletico Madrid,38,23,9,6,70,27,43,78
2016-2017,4,Sevilla,38,21,9,8,69,49,20,72
2016-2017,5,Villarreal,38,19,10,9,56,33,23,67
2016-2017,6,Real Sociedad,38,19,7,12,59,53,6,64
2016-2017,7,Athletic Bilbao,38,19,6,13,53,43,10,63
2016-2017,8,Espanyol,38,15,11,12,49,50,-1,56
2016-2017,9,Alaves,38,14,13,11,41,43,-2,55
2016-2017,10,Eibar,38,15,9,14,56,51,5,54
2016-2017,11,Malaga,38,12,10,16,49,55,-6,46
2016-2017,12,Valencia,38,13,7,18,56,65,-9,46
2016-2017,13,Celta Vigo,38,13,6,19,53,69,-16,45
2016-2017,14,Las Palmas,38,10,9,19,53,74,-21,39
2016-2017,15,Real Betis,38,10,9,19,41,64,-23,39
2016-2017,16,Deportivo La Coruna,38,8,12,18,43,61,-18,36
2016-2017,17,Leganes,38,8,11,19,36,55,-19,35
2016-2017,18,Sporting Gijon,38,7,10,21,42,72,-30,31
2016-2017,19,Osasuna,38,4,10,24,40,94,-54,22
2016-2017,20,Granada,38,4,8,26,30,82,-52,20
2012-2013,1,Barcelona,38,32,4,2,115,40,75,100
2012-2013,2,Real Madrid,38,26,7,5,103,42,61,85
2012-2013,3,Atletico Madrid,38,23,7,8,65,31,34,76
2012-2013,4,Real Sociedad,38,18,12,8,70,49,21,66
2012-2013,5,Valencia,38,19,8,11,67,54,13,65
2012-2013,6,Malaga,38,16,9,13,53,50,3,57
2012-2013,7,Real Betis,38,16,8,14,57,56,1,56
2012-2013,8,Rayo Vallecano,38,16,5,17,50,66,-16,53
2012-2013,9,Sevilla,38,14,8,16,58,54,4,50
2012-2013,10,Getafe,38,13,8,17,43,57,-14,47
2012-2013,11,Levante,38,12,10,16,40,57,-17,46
2012-2013,12,Athletic Bilbao,38,12,9,17,44,65,-21,45
2012-2013,13,Espanyol,38,11,11,16,43,52,-9,44
2012-2013,14,Valladolid,38,11,10,17,49,58,-9,43
2012-2013,15,Granada,38,11,9,18,37,54,-17,42
2012-2013,16,Osasuna,38,10,9,19,33,50,-17,39
2012-2013,17,Celta Vigo,38,10,7,21,37,52,-15,37
2012-2013,18,Mallorca,38,9,9,20,43,72,-29,36
2012-2013,19,Deportivo La Coruna,38,8,11,19,47,70,-23,35
2012-2013,20,Zaragoza,38,9,7,22,37,62,-25,34
