Season,R,Team,P,W,D,L,GF,GA,GD,Pts,GP,GF,A,SOG,S,HG,KG,YC,RC,F,OFF
2014-2015,19,Almeria,38,8,8,22,35,64,-29,32,38,35,22,131,398,6,26,125,11,557,59
2014-2015,7,Athletic Bilbao,38,15,10,13,42,41,1,55,38,42,26,153,441,11,30,100,4,526,92
2014-2015,3,Atletico Madrid,38,23,9,6,67,29,38,78,38,67,48,197,443,25,39,117,4,543,100
2014-2015,1,Barcelona,38,30,4,4,110,21,89,94,38,110,80,291,631,16,92,69,3,369,120
2014-2015,8,Celta Vigo,38,13,12,13,47,44,3,51,38,47,33,177,501,9,36,119,5,581,111
2014-2015,20,Cordoba,38,3,11,24,22,68,-46,20,38,22,12,128,401,2,18,105,9,494,64
2014-2015,16,Deportivo La Coruna,38,7,14,17,35,60,-25,35,38,35,17,140,405,5,28,111,4,560,111
2014-2015,18,Eibar,38,9,8,21,34,55,-21,35,38,34,25,124,360,9,24,109,5,565,71
2014-2015,13,Elche,38,11,8,19,35,62,-27,41,38,35,25,137,417,10,25,111,5,586,100
2014-2015,10,Espanyol,38,13,10,15,47,51,-4,49,38,47,29,154,389,6,40,125,6,614,70
2014-2015,15,Getafe,38,10,7,21,33,64,-31,37,38,33,25,153,419,5,25,98,4,543,73
2014-2015,17,Granada,38,7,14,17,29,64,-35,35,38,29,17,137,413,6,23,115,5,571,86
2014-2015,14,Levante,38,9,10,19,34,67,-33,37,38,34,22,115,407,6,27,107,3,560,68
2014-2015,9,Malaga,38,14,9,15,42,47,-5,51,38,42,27,175,470,9,31,113,8,570,124
2014-2015,11,Rayo Vallecano,38,15,4,19,46,68,-22,49,38,46,33,176,494,13,33,112,5,553,111
2014-2015,2,Real Madrid,38,30,2,6,118,38,80,92,38,118,92,306,686,24,91,85,3,406,118
2014-2015,12,Real Sociedad,38,11,13,14,44,51,-7,46,38,44,35,147,433,12,29,85,1,510,103
2014-2015,5,Sevilla,38,22,8,8,70,45,25,74,38,71,45,200,465,13,55,117,2,606,119
2014-2015,4,Valencia,38,22,11,5,70,32,38,77,38,70,49,171,444,17,48,113,9,567,67
2014-2015,6,Villarreal,38,16,12,10,48,37,11,60,38,48,34,190,522,5,43,93,2,526,89
2013-2014,17,Almeria,38,11,7,20,43,71,-28,40,38,43,28,150,392,7,35,101,5,563,88
2013-2014,4,Athletic Bilbao,38,20,10,8,66,39,27,70,38,66,46,203,503,18,46,81,3,484,80
2013-2014,1,Atletico Madrid,38,28,6,4,77,26,51,90,38,77,56,212,486,18,56,97,2,523,130
2013-2014,2,Barcelona,38,27,6,5,100,33,67,87,38,100,72,290,641,5,91,73,1,425,110
2013-2014,20,Betis,38,6,7,25,36,78,-42,25,38,36,21,185,502,6,29,117,9,541,82
2013-2014,9,Celta Vigo,38,14,7,17,49,54,-5,49,38,49,33,187,492,8,39,87,4,513,66
2013-2014,16,Elche,38,9,13,16,30,50,-20,40,38,30,22,137,399,7,21,121,8,530,70
2013-2014,14,Espanyol,38,11,9,18,41,51,-10,42,38,41,30,140,410,7,33,100,7,608,71
2013-2014,13,Getafe,38,11,9,18,35,54,-19,42,38,35,30,144,430,9,25,130,8,575,78
2013-2014,15,Granada,38,12,5,21,32,56,-24,41,38,32,22,140,433,7,24,106,9,539,91
2013-2014,10,Levante,38,12,12,14,35,43,-8,48,38,35,20,125,357,7,26,115,9,650,73
2013-2014,11,Malaga,38,12,9,17,39,46,-7,45,38,39,32,164,467,11,28,128,9,565,91
2013-2014,18,Osasuna,38,10,9,19,32,62,-30,39,38,32,17,147,419,9,22,89,8,496,78
2013-2014,12,Rayo Vallecano,38,13,4,21,46,80,-34,43,38,46,31,186,523,9,36,104,9,545,83
2013-2014,3,Real Madrid,38,27,6,5,104,38,66,87,38,104,79,315,740,14,89,75,2,451,145
2013-2014,7,Real Sociedad,38,16,11,11,62,55,7,59,38,62,46,205,494,15,44,75,1,453,80
2013-2014,5,Sevilla,38,18,9,11,69,52,17,63,38,69,48,180,500,10,58,120,8,569,121
2013-2014,8,Valencia,38,13,10,15,51,53,-2,49,38,51,35,185,518,15,36,103,4,493,88
2013-2014,19,Valladolid,38,7,15,16,38,60,-22,36,38,38,29,135,374,14,23,103,1,526,106
2013-2014,6,Villarreal,38,17,8,13,60,44,16,59,38,60,44,170,424,5,53,75,3,528,134
2015-2016,5,Athletic Bilbao,38,18,8,12,58,45,13,62,38,58,42,178,450,17,40,84,5,502,92
2015-2016,3,Atletico Madrid,38,28,4,6,63,18,45,88,38,63,49,186,481,9,53,91,3,503,84
2015-2016,1,Barcelona,38,29,4,5,112,29,83,91,38,112,79,277,600,10,99,66,1,385,120
2015-2016,10,Betis,38,11,12,15,34,52,-18,45,38,34,26,132,398,8,25,110,3,490,80
2015-2016,6,Celta Vigo,38,17,9,12,51,59,-8,60,38,51,43,170,442,3,48,116,6,528,103
2015-2016,15,Deportivo La Coruna,38,8,18,12,45,61,-16,42,38,45,32,166,451,5,36,84,4,401,85
2015-2016,14,Eibar,38,11,10,17,49,61,-12,43,38,49,33,158,421,7,40,109,4,598,85
